Herb ID,Chinese Character,English Name,Latin Name,Chinese Pin Yin,Therapeutic Function in Chinese,Therapeutic Function in English,Herb Function,Related Compound ID,Related Compound Name
H0001,艾片,Blumea camphor,Blumea balsamifera,Ai Pian,NA,NA,NA,C0333,Protocatechuic Acid
H0001,艾片,Blumea camphor,Blumea balsamifera,Ai Pian,NA,NA,NA,C0488,Xanthoxylin
H0001,艾片,Blumea camphor,Blumea balsamifera,Ai Pian,NA,NA,NA,C0332,Protocatechualdehyde
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0163,Juglone
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C1243,Cinnamic Acid
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C1231,Chlorogenic Acid
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0073,Ferulic Acid
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0905,Anethole
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C1162,Benzaldehyde
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0259,Octanol
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0285,Palmitic Acid
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0063,Eucalyptol
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0064,Eugenol
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0362,Resorcinol
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0081,Folic Acid
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0188,Linalool
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0419,Styrene
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C1218,Carvacrol
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C1209,Camphor
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0242,Naringenin
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0263,Oleic Acid
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0845,Acacetin
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0189,Linoleic Acid
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0156,Isoquercetin
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0377,Rutin
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0164,Kaempferol
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0054,Esculin
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0133,Hyperoside
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0157,Isorhamnetin
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0374,Rosmarinic Acid
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0935,Astragalin
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0504,Limonene
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0523,Terpineol
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0547,Caryophyllene
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0498,Cynarin
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0522,Falcarinol
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0771,"4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One"
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0548,Alpha-Humulone
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0808,"5,7-Dihydroxy-2-(4-Hydroxyphenyl)-2,3-Dihydrochromen-4-One"
H0002,茴香,Fennel fruit,Foeniculum vulgare,Hui Xiang,温里,For warming interior,"Dispel cold and stop pain, regulate qi and harmonize the stomach",C0262,Oleanolic_Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C1211,Cannabidiol
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0035,Dronabinol
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C1212,Cannabigerol
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0064,Eugenol
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C1162,Benzaldehyde
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0917,Arachidonic Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0914,Apigenin
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0231,Myristic Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0287,Palmitoleic Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0285,Palmitic Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0483,Vitexin
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0283,Paeonol
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0189,Linoleic Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C1209,Camphor
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0190,Linolenic Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0479,Vanillin
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0095,Gamolenic Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0263,Oleic Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0049,Ergosterol
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0199,Luteolin
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0416,Stearic Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C1236,Choline
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0459,Trigonelline
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0227,Muscarine
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0537,Cannabidiol Acid
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0530,Cannabichromene
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0903,Cannabichromene
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0883,Cannabidiol
H0003,火麻仁,Hemp fimble seed,Cannabis sativa,Huo Ma Ren,泻下,Purging,Cause Taxation,C0548,Alpha-Humulone
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C1242,Cinnamaldehyde
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0064,Eugenol
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0914,Apigenin
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C1162,Benzaldehyde
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0368,Rhamnetin
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0285,Palmitic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0905,Anethole
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0014,Dibutyl Phthalate
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0298,Phenanthrene
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0352,Quercetin
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C1201,Butylated Hydroxytoluene
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0133,Hyperoside
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0333,Protocatechuic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0291,Paraben
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C1246,Citric Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0173,Lactic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0607,"2,3-Dihydroxypropanal"
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0204,Malonic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0340,Putrescine
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0420,Succinic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0209,Meglutol
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0934,Aspirin
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0416,Stearic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0931,Aspartic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0206,Mannitol
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0350,Pyroglutamic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0251,Nonane
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0478,Vanillic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0183,L-Fucose
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C1178,Beta-Sitosterol
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0429,Tartrate
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0086,Fumaric Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0263,Oleic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C1203,Caffeic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C1231,Chlorogenic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0414,Sphingosine
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0845,Acacetin
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0199,Luteolin
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0189,Linoleic Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0164,Kaempferol
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0448,Tilianine
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0547,Caryophyllene
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0548,Alpha-Humulone
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0185,Licoagrochacone A
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0262,Oleanolic_Acid
H0004,藿香,Patchouli,Pogostemon cablin,Huo Xiang,NA,NA,NA,C0853,Acetoside
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C1242,Cinnamaldehyde
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0064,Eugenol
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0914,Apigenin
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C1162,Benzaldehyde
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0368,Rhamnetin
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0285,Palmitic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0905,Anethole
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0014,Dibutyl Phthalate
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0298,Phenanthrene
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0352,Quercetin
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C1201,Butylated Hydroxytoluene
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0133,Hyperoside
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0333,Protocatechuic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0291,Paraben
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C1246,Citric Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0173,Lactic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0607,"2,3-Dihydroxypropanal"
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0204,Malonic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0340,Putrescine
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0420,Succinic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0209,Meglutol
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0934,Aspirin
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0416,Stearic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0931,Aspartic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0206,Mannitol
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0350,Pyroglutamic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0251,Nonane
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0478,Vanillic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0183,L-Fucose
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C1178,Beta-Sitosterol
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0429,Tartrate
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0086,Fumaric Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0263,Oleic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C1203,Caffeic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C1231,Chlorogenic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0414,Sphingosine
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0845,Acacetin
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0199,Luteolin
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0189,Linoleic Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0164,Kaempferol
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0448,Tilianine
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0547,Caryophyllene
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0548,Alpha-Humulone
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0185,Licoagrochacone A
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0262,Oleanolic_Acid
H0005,藿香叶,Patchouli,Pogostemon cablin,Huo Xiang Ye,NA,NA,NA,C0853,Acetoside
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0125,Histamine
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0466,Tyramine
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0078,Flavonol
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0291,Paraben
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C1236,Choline
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C1246,Citric Acid
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0420,Succinic Acid
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C1171,Berberine
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C1227,Chelerythrine
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0388,Sanguinarium
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0073,Ferulic Acid
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C1258,Coumaric Acid
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C1203,Caffeic Acid
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0354,Quercitrin
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0156,Isoquercetin
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0377,Rutin
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0935,Astragalin
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0475,Ursodiol
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0508,Dihydroberberine
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0606,Choline
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0840,Sanguinarine
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0578,Stylopine
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0734,Histamine
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0781,Tyramine
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0617,Coptisine
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0750,Α-Spinasterol
H0006,白屈菜,Greater celandine,Chelidonium majus,Bai Qu Cai,NA,NA,NA,C0499,Chelidonine
H0007,活血藤,NA,Sargentodoxa cuneata,Huo Xue Teng,NA,NA,NA,C0478,Vanillic Acid
H0007,活血藤,NA,Sargentodoxa cuneata,Huo Xue Teng,NA,NA,NA,C1178,Beta-Sitosterol
H0007,活血藤,NA,Sargentodoxa cuneata,Huo Xue Teng,NA,NA,NA,C0467,Tyrosol
H0007,活血藤,NA,Sargentodoxa cuneata,Huo Xue Teng,NA,NA,NA,C1231,Chlorogenic Acid
H0007,活血藤,NA,Sargentodoxa cuneata,Huo Xue Teng,NA,NA,NA,C1220,Catechin
H0007,活血藤,NA,Sargentodoxa cuneata,Huo Xue Teng,NA,NA,NA,C0333,Protocatechuic Acid
H0007,活血藤,NA,Sargentodoxa cuneata,Huo Xue Teng,NA,NA,NA,C0916,Apocynin
H0007,活血藤,NA,Sargentodoxa cuneata,Huo Xue Teng,NA,NA,NA,C0114,(-)-Epicatechin
H0007,活血藤,NA,Sargentodoxa cuneata,Huo Xue Teng,NA,NA,NA,C1241,Cianidanol
H0008,棘豆,NA,Oxytropis myriophylla,Ji Dou,NA,NA,NA,C1178,Beta-Sitosterol
H0008,棘豆,NA,Oxytropis myriophylla,Ji Dou,NA,NA,NA,C0884,Alpha-Amyrin
H0009,鸡骨草,Canton abrus,Abrus fruticulosus,Ji Gu Cao,NA,NA,"Remove toxic heat, and relieve the depressed liver and alleviate pain",C0650,Soyasaponin I
H0010,鸡冠花,Common cockscomb flower,Celosia cristata,Ji Guan Hua,收涩,Astriction,Arrest discharge,C0176,Lecanoric Acid
H0010,鸡冠花,Common cockscomb flower,Celosia cristata,Ji Guan Hua,收涩,Astriction,Arrest discharge,C0157,Isorhamnetin
H0010,鸡冠花,Common cockscomb flower,Celosia cristata,Ji Guan Hua,收涩,Astriction,Arrest discharge,C0189,Linoleic Acid
H0010,鸡冠花,Common cockscomb flower,Celosia cristata,Ji Guan Hua,收涩,Astriction,Arrest discharge,C0285,Palmitic Acid
H0010,鸡冠花,Common cockscomb flower,Celosia cristata,Ji Guan Hua,收涩,Astriction,Arrest discharge,C0199,Luteolin
H0011,蒺藜,Puncturevine caltrop fruit,Tribulus terrestris,Ji Li,平肝息风,For calming liver and containing wind,"Subdue hyperactivity of the liver, promote blood circulation, dispel wind, clear the eye of opacity, and arrest itching",C0115,Harmine
H0011,蒺藜,Puncturevine caltrop fruit,Tribulus terrestris,Ji Li,平肝息风,For calming liver and containing wind,"Subdue hyperactivity of the liver, promote blood circulation, dispel wind, clear the eye of opacity, and arrest itching",C0073,Ferulic Acid
H0012,继木叶浸膏,NA,Loropetalum chinense,Ji Mu Ye Jin Gao,NA,NA,NA,C0090,Gallic Acid
H0012,继木叶浸膏,NA,Loropetalum chinense,Ji Mu Ye Jin Gao,NA,NA,NA,C0841,Abietic Acid
H0012,继木叶浸膏,NA,Loropetalum chinense,Ji Mu Ye Jin Gao,NA,NA,NA,C1231,Chlorogenic Acid
H0013,鸡矢藤,Fevervine,Paederia scandens,Ji Shi Teng,消食,Food digestion,"Strengthen the stomach and improve digestion, Relieve nocturnal emission, Disperse blood stasis and eliminate stones",C0447,Thymol
H0013,鸡矢藤,Fevervine,Paederia scandens,Ji Shi Teng,消食,Food digestion,"Strengthen the stomach and improve digestion, Relieve nocturnal emission, Disperse blood stasis and eliminate stones",C0231,Myristic Acid
H0013,鸡矢藤,Fevervine,Paederia scandens,Ji Shi Teng,消食,Food digestion,"Strengthen the stomach and improve digestion, Relieve nocturnal emission, Disperse blood stasis and eliminate stones",C0181,Levomenthol
H0013,鸡矢藤,Fevervine,Paederia scandens,Ji Shi Teng,消食,Food digestion,"Strengthen the stomach and improve digestion, Relieve nocturnal emission, Disperse blood stasis and eliminate stones",C0358,Quinoline
H0013,鸡矢藤,Fevervine,Paederia scandens,Ji Shi Teng,消食,Food digestion,"Strengthen the stomach and improve digestion, Relieve nocturnal emission, Disperse blood stasis and eliminate stones",C0285,Palmitic Acid
